Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_IMU_Battery
2026-04-24,11:14:31,0,1,-7.9840,-2.0097,0.1008,2.9658,1.2359,0,1.0000,-998,1,14.4039,-3.8337,127.6078,-0.6472,-160.7850,0.496,0.000,0.528,0.0000,0.0000,0
2026-04-24,11:14:31,2,1,-7.9840,-1.9136,0.0933,2.7455,1.2487,0,1.0000,-998,1,14.5183,-0.1455,127.8813,2.1037,-154.6644,0.472,0.000,0.552,0.0000,0.0000,0
2026-04-24,11:14:31,3,1,-7.9840,-2.0880,0.0763,2.2442,1.2662,0,1.0000,-998,1,14.2870,-4.2290,128.1159,3.4814,-135.8870,0.440,0.000,0.584,0.0000,0.0000,0
2026-04-24,11:14:31,4,1,-7.9840,-2.0603,0.0749,2.2019,1.2808,0,1.0000,-998,1,14.1642,-3.4789,128.3303,4.3986,-138.3620,0.416,0.000,0.608,0.0000,0.0000,0
2026-04-24,11:14:31,4,1,-7.9840,-2.1307,0.0808,2.3751,1.2947,0,1.0000,-998,1,14.1139,-2.5264,128.5477,5.0984,-140.5923,0.392,0.000,0.632,0.0000,0.0000,0
2026-04-24,11:14:31,5,1,-7.9840,-2.0289,0.0622,1.8305,1.3141,0,1.0000,-998,1,14.1927,0.8876,128.9828,7.0618,-143.3206,0.360,0.000,0.629,0.0000,0.0000,0
2026-04-24,11:14:31,5,1,-7.9840,-1.7596,0.0851,2.5033,1.3285,0,1.0000,-998,1,14.3824,4.1886,129.3608,8.4705,-145.3749,0.336,0.000,0.626,0.0000,0.0000,0
2026-04-24,11:14:31,7,1,-7.9840,-1.8569,0.0952,2.8014,1.3412,0,1.0000,-998,1,14.6820,6.7568,129.7381,9.3833,-133.1572,0.312,0.000,0.633,0.0000,0.0000,0
2026-04-24,11:14:31,7,1,-7.9840,-1.9242,0.0692,2.0352,1.3572,0,1.0000,-998,1,14.5246,-1.3310,130.1453,9.3674,-108.8718,0.280,0.000,0.647,0.0000,0.0000,0
2026-04-24,11:14:31,8,1,-7.9840,-1.5560,0.0799,2.3502,1.3736,0,1.0000,-998,1,14.3916,-0.8709,130.0850,4.8214,-100.5250,0.248,0.000,0.679,0.0000,0.0000,0
2026-04-24,11:14:31,9,1,-7.9840,-1.7134,0.0817,2.4030,1.3885,0,1.0000,-998,1,14.5901,1.8635,129.9407,1.6023,-106.2824,0.216,0.000,0.711,0.0000,0.0000,0
