Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_Yaw_deg,Kite_Gyro_X,Kite_Gyro_Y,Kite_Gyro_Z,Kite_IMU_Battery
2026-04-17,14:48:09,0,1,1.4000,1.3018,0.0573,1.6860,3.7490,0,1.0000,175,1,10.4127,-12.5549,18.4842,3.4925,168.8307,0.000,0.000,0.536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,1,1,1.4000,1.4060,0.0663,1.9489,3.7384,0,1.0000,175,1,9.4590,-28.4116,18.5193,1.5501,168.6346,0.048,0.000,0.568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,2,1,1.3760,1.3166,0.0853,2.5077,3.7273,0,1.0000,172,1,9.6183,16.0553,18.5771,2.4044,168.8503,0.112,0.000,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,3,1,1.3760,1.2740,0.0902,2.6542,3.7166,0,1.0000,172,1,10.2025,12.2180,18.7177,2.3007,168.6105,0.080,0.000,0.632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,3,1,1.3760,1.3718,0.0883,2.5979,3.7062,0,1.0000,172,1,10.1984,0.3138,18.3626,-5.9475,168.8121,0.048,0.000,0.664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,4,1,1.3840,1.4899,0.0834,2.4531,3.6949,0,1.0000,173,1,9.9800,-2.8121,18.2018,-5.0179,168.7679,0.016,0.000,0.696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,4,1,1.3840,1.1749,0.1104,3.2473,3.6852,0,1.0000,173,1,10.2335,7.5264,18.0785,-4.2597,168.7360,0.000,0.000,0.728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,6,1,1.3840,1.3297,0.1144,3.3643,3.6737,0,1.0000,173,1,10.5203,4.3273,17.6830,-8.6231,168.8242,0.000,0.000,0.760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,7,1,1.3840,1.4898,0.1062,3.1236,3.6618,0,1.0000,173,1,10.6694,10.6647,17.3551,-9.3121,168.9028,0.000,0.000,0.792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,8,1,1.3840,1.3538,0.1201,3.5333,3.6506,0,1.0000,173,1,10.9271,8.0114,17.0710,-8.8963,168.8952,0.000,0.000,0.824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,9,1,1.3760,1.2569,0.1340,3.9420,3.6394,0,1.0000,172,1,11.3930,13.3738,16.8327,-7.1187,168.9408,0.000,0.000,0.856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,9,1,1.3840,1.3679,0.1220,3.5886,3.6277,0,1.0000,173,1,11.2274,3.1529,16.8472,-4.7264,168.9211,0.000,0.000,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,10,1,1.3680,1.3505,0.1362,4.0057,3.6164,0,1.0000,171,1,11.4431,4.9011,16.8267,-3.3629,168.9535,0.000,0.000,0.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,10,1,1.3680,1.1777,0.1729,5.0862,3.6073,0,1.0000,171,1,11.4498,1.8770,16.8405,-2.1819,168.8735,0.000,0.000,0.928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,11,1,1.3680,1.0769,0.1974,5.8049,3.5966,0,1.0000,171,1,11.2102,-2.9380,16.8212,-1.6332,168.9409,0.000,0.000,0.952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,12,1,1.3520,1.4683,0.1944,5.7163,3.5861,0,1.0000,169,1,10.7865,-10.4826,16.8864,-0.4794,168.9393,0.000,0.000,0.976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,13,1,1.3520,1.8143,0.0824,2.4231,3.5706,0,1.0000,169,1,12.1230,17.3007,17.1113,1.5231,168.9744,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,13,1,1.3520,1.1708,0.1513,4.4503,3.5613,0,1.0000,169,1,10.0970,-26.9309,17.2528,2.2656,168.9577,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,14,1,0.9840,1.6046,0.0769,2.2623,3.5467,0,1.0000,123,1,10.3549,-0.5822,17.4591,3.1482,169.2107,0.048,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,15,1,0.9840,1.2572,0.0360,1.0599,3.5364,0,1.0000,123,1,11.7871,18.3893,18.1901,8.5484,169.1203,0.048,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,16,1,0.9840,0.9573,0.0545,1.6036,3.5287,0,1.0000,123,1,12.9701,28.9936,19.0191,10.0809,169.4416,0.024,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,17,1,0.7520,0.6161,0.0535,1.5747,3.5210,0,1.0000,94,1,13.8602,13.6532,18.7235,-0.3818,169.0703,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,45,1,0.7520,0.6391,0.0615,1.8074,3.5156,0,1.0000,94,1,13.4717,-14.7340,18.8440,-1.4804,169.0184,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,46,1,0.7120,0.7046,0.0615,1.8096,3.5100,0,1.0000,89,1,10.8074,-72.7795,18.0705,-12.8372,168.8854,0.048,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,47,1,0.7040,0.6707,0.0676,1.9876,3.5046,0,1.0000,88,1,10.1063,-4.2543,17.9315,-6.9263,169.1186,0.112,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,48,1,0.7040,0.7043,0.0628,1.8469,3.4989,0,1.0000,88,1,11.6255,36.7776,17.8599,-3.0931,169.2101,0.152,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,49,1,0.6160,0.6319,0.0656,1.9292,3.4934,0,1.0000,77,1,13.0373,35.8611,18.0424,0.9926,169.1207,0.120,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,50,1,0.6160,0.7307,0.0670,1.9705,3.4887,0,1.0000,77,1,13.0285,-0.5060,17.7414,-4.1144,169.1745,0.088,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,51,1,0.6160,0.8121,0.0452,1.3280,3.4822,0,1.0000,77,1,12.5587,-10.9856,17.5451,-5.9200,169.0933,0.056,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,51,1,0.3440,0.5945,0.0104,0.3058,3.4760,0,1.0000,43,1,13.0202,16.3729,17.4450,-3.5423,169.1156,0.024,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,52,1,0.3440,0.3462,0.0379,1.1144,3.4739,0,1.0000,43,1,16.2553,71.9364,17.8083,3.4558,168.9508,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:48:09,53,1,0.1360,0.2510,0.0386,1.1357,3.4707,0,1.0000,17,1,17.3127,28.2381,17.8718,1.8264,168.8602,0.000,0.000,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
