Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_IMU_Battery
2026-05-05,14:10:56,0,1,-7.9840,-1.3310,0.1092,3.2127,3.1432,0,12.5202,-998,1,11.1850,2.7221,94.6357,-2.7777,154.5000,0.000,0.000,0.530,0.0000,0.0000,0
2026-05-05,14:10:56,1,1,-7.9840,-1.4036,0.0976,2.8707,3.1551,0,12.5202,-998,1,11.4171,2.9091,94.9280,0.5814,155.3811,0.000,0.000,0.554,0.0000,0.0000,0
2026-05-05,14:10:56,3,1,-7.9840,-1.4774,0.0716,2.1053,3.1659,0,12.5202,-998,1,11.1975,-2.0265,95.2987,3.4890,155.8477,0.000,0.000,0.578,0.0000,0.0000,0
2026-05-05,14:10:56,3,1,-7.9840,-1.6156,0.0463,1.3606,3.1798,0,12.5202,-998,1,10.9758,-4.4234,95.7594,5.9451,156.3135,0.000,0.000,0.602,0.0000,0.0000,0
2026-05-05,14:10:56,4,1,-7.9840,-1.3979,0.0699,2.0561,3.1929,0,12.5202,-998,1,10.4914,-9.8462,95.8576,4.6973,156.7875,0.000,0.000,0.626,0.0000,0.0000,0
2026-05-05,14:10:56,5,1,-7.9840,-1.6044,0.0868,2.5543,3.2073,0,12.5202,-998,1,10.0238,-9.3315,95.7584,2.5143,157.5314,0.048,0.000,0.650,0.0000,0.0000,0
2026-05-05,14:10:56,5,1,-7.9840,-1.7202,0.0728,2.1421,3.2221,0,12.5202,-998,1,10.2336,-1.0811,95.8466,2.4456,158.3635,0.096,0.000,0.674,0.0000,0.0000,0
2026-05-05,14:10:56,6,1,-7.9840,-1.9538,0.0591,1.7378,3.2360,0,12.5202,-998,1,10.1162,-2.3970,96.0490,3.5098,158.9596,0.072,0.000,0.698,0.0000,0.0000,0
2026-05-05,14:10:56,7,1,-7.9840,-1.4619,0.0910,2.6773,3.2520,0,12.5202,-998,1,10.2484,0.8425,96.2638,3.9237,159.4216,0.048,0.000,0.722,0.0000,0.0000,0
2026-05-05,14:10:56,7,1,-7.9840,-1.4439,0.1037,3.0487,3.2643,0,12.5202,-998,1,10.2637,1.2534,95.8837,-0.5175,153.2689,0.024,0.000,0.746,0.0000,0.0000,0
2026-05-05,14:10:56,8,1,-7.9840,-1.4460,0.0831,2.4450,3.2730,0,12.5202,-998,1,10.7504,7.1334,95.9648,0.1843,139.9926,0.008,0.000,0.762,0.0000,0.0000,0
2026-05-05,14:10:56,9,1,-7.9840,-1.5128,0.0665,1.9545,3.2809,0,12.5202,-998,1,11.1393,9.3719,96.4875,3.7461,141.1471,0.000,0.000,0.778,0.0000,0.0000,0
2026-05-05,14:10:56,10,1,-7.9840,-1.3508,0.0458,1.3467,3.2987,0,12.5202,-998,1,10.8404,0.5970,97.4950,9.4157,142.4765,0.000,0.000,0.802,0.0000,0.0000,0
2026-05-05,14:10:56,11,1,-7.9840,-1.5641,0.0782,2.3008,3.3112,0,12.5202,-998,1,10.5372,-4.1983,97.0843,2.8924,143.8532,0.000,0.000,0.826,0.0000,0.0000,0
