Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_Yaw_deg,Kite_Gyro_X,Kite_Gyro_Y,Kite_Gyro_Z,Kite_IMU_Battery
2026-04-17,08:27:48,0,1,0.0000,0.0116,-0.0368,1.0813,1.0460,0,1.0000,0,0,3.5264,-63.3985,15.7712,-77.7909,130.2114,0.530,0.000,0.518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,1,1,0.0000,0.0286,-0.0406,1.1951,1.0459,0,1.0000,0,0,2.1574,-32.0886,18.0990,-22.4095,118.8052,0.610,0.000,0.514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,1,1,0.0000,0.0043,-0.0397,1.1688,1.0458,0,1.0000,0,0,5.6031,51.0901,22.7211,30.0554,121.0158,0.670,0.000,0.522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,3,1,0.0000,-0.0039,-0.0400,1.1755,1.0458,0,1.0000,0,0,9.2598,79.5833,28.0498,70.0630,123.0737,0.640,0.000,0.552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,4,1,0.0000,0.0268,-0.0435,1.2796,1.0457,0,1.0000,0,0,9.1857,29.3647,31.1697,77.1237,125.4246,0.610,0.000,0.582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,4,1,0.0000,-0.0028,-0.0442,1.3014,1.0456,0,1.0000,0,0,7.7757,-10.2477,31.9809,59.2271,128.0509,0.580,0.000,0.612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,5,1,0.0000,0.0071,-0.0442,1.3001,1.0456,0,1.0000,0,0,7.6508,-5.2757,31.4826,35.3398,130.7017,0.550,0.000,0.642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,6,1,0.0000,0.0149,-0.0459,1.3498,1.0456,0,1.0000,0,0,8.0155,3.8925,30.7060,16.7605,133.6395,0.520,0.000,0.672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,6,1,0.0000,0.0103,-0.0472,1.3868,1.0455,0,1.0000,0,0,8.4531,9.9308,29.6421,1.0676,136.9983,0.490,0.000,0.702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,7,1,0.0000,0.0064,-0.0472,1.3882,1.0455,0,1.0000,0,0,9.3114,19.5689,28.4835,-10.4060,140.1933,0.460,0.000,0.732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
,,7,1,0.0000,-0.0034,-0.0465,1.3685,1.0455,0,1.0000,0,0,9.8683,16.4695,27.3027,-17.8349,143.4539,0.430,0.000,0.762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,8,1,0.0000,-0.0081,-0.0451,1.3253,1.0455,0,1.0000,0,0,9.5079,-0.0858,26.1254,-22.8591,146.5107,0.400,0.000,0.792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,8,1,0.0000,-0.0093,-0.0427,1.2554,1.0456,0,1.0000,0,0,8.7056,-13.6654,25.3726,-22.6323,141.9954,0.370,0.000,0.822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,9,1,0.0000,0.0093,-0.0426,1.2531,1.0457,0,1.0000,0,0,8.9500,0.8731,24.8143,-20.7840,130.0046,0.340,0.000,0.852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,10,1,0.0000,-0.0061,-0.0409,1.2038,1.0457,0,1.0000,0,0,10.2304,21.5263,24.8278,-13.6375,111.6162,0.310,0.000,0.882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,11,1,0.0000,-0.0056,-0.0428,1.2599,1.0457,0,1.0000,0,0,9.9135,0.7729,25.6300,-1.6754,115.3617,0.280,0.000,0.912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,08:27:48,11,1,0.0000,-0.0092,-0.0407,1.1971,1.0457,0,1.0000,0,0,8.2431,-29.5578,26.2445,4.6561,118.5888,0.250,0.000,0.942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
