Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_Yaw_deg,Kite_Gyro_X,Kite_Gyro_Y,Kite_Gyro_Z,Kite_IMU_Battery
2026-04-17,12:58:44,0,1,-7.9840,-1.9522,0.0792,2.3279,1.3633,0,1.0000,-998,1,10.2844,-8.8914,3.7180,-7.6148,169.3144,0.000,0.000,0.528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,1,1,-7.9840,-2.1414,0.0649,1.9082,1.3813,0,1.0000,-998,1,10.4007,-0.2378,3.4586,-7.6087,169.5586,0.000,0.000,0.552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,2,1,-7.9840,-2.2660,0.0645,1.8970,1.4000,0,1.0000,-998,1,10.8503,5.0199,3.1053,-7.5277,169.6882,0.000,0.000,0.576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,3,1,-7.9840,-2.0893,0.0885,2.6039,1.4206,0,1.0000,-998,1,10.3728,-4.9229,2.9907,-6.0079,169.7214,0.000,0.000,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,3,1,-7.9840,-2.1311,0.0778,2.2868,1.4373,0,1.0000,-998,1,10.4841,0.2550,2.9694,-4.2899,169.8905,0.000,0.000,0.624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,4,1,-7.9840,-2.2382,0.0611,1.7972,1.4564,0,1.0000,-998,1,10.9213,6.3642,2.8994,-3.5122,170.0625,0.000,0.000,0.648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,4,1,-7.9840,-2.3182,0.0971,2.8563,1.4764,0,1.0000,-998,1,10.7884,-0.7435,2.6588,-4.3298,170.1999,0.000,0.000,0.672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,6,1,-7.9840,-2.3711,0.1124,3.3055,1.4934,0,1.0000,-998,1,10.3797,-5.8253,2.8076,-1.6163,170.2934,0.000,0.000,0.696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,7,1,-7.9840,-2.4095,0.1067,3.1387,1.5146,0,1.0000,-998,1,10.9769,6.8759,3.0290,0.5407,170.3560,0.000,0.000,0.720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,8,1,-7.9840,-2.5501,0.0940,2.7639,1.5359,0,1.0000,-998,1,10.8272,-0.2155,3.0328,0.3869,170.5352,0.000,0.000,0.744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,9,1,-7.9840,-2.7474,0.0827,2.4313,1.5595,0,1.0000,-998,1,10.4026,-6.2514,2.9880,-0.1338,170.7790,0.000,0.000,0.768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,9,1,-7.9840,-2.6360,0.0825,2.4251,1.5823,0,1.0000,-998,1,10.2685,-4.1056,2.7692,-1.9828,170.9859,0.000,0.000,0.792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,10,1,-7.9840,-2.9111,0.1109,3.2619,1.6048,0,1.0000,-998,1,10.0155,-5.7730,2.7711,-1.3868,170.9632,0.000,0.000,0.816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,12:58:44,10,1,-7.9840,-2.8627,0.0847,2.4922,1.6283,0,1.0000,-998,1,10.0971,-0.8016,2.8976,-0.1045,171.0203,0.000,0.000,0.840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
