Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf,Kite_Pitch_deg,Kite_Roll_deg,Kite_Yaw_deg,Kite_Gyro_X,Kite_Gyro_Y,Kite_Gyro_Z,Kite_IMU_Battery
2026-04-17,14:49:00,0,1,7.9920,7.9572,0.1359,3.9968,11.9701,0,1.0000,999,1,11.8536,1.9212,-5.3869,-3.2601,170.1606,0.000,0.000,0.528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,1,1,7.9920,7.8057,0.1583,4.6550,11.9141,0,1.0000,999,1,10.3817,-25.2754,-5.9165,-7.2177,170.1053,0.000,0.000,0.552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,2,1,7.9920,7.7359,0.2097,6.1680,11.8444,0,1.0000,999,1,9.8168,-10.9885,-6.1971,-6.7308,170.1943,0.032,0.000,0.584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,3,1,7.9920,7.9122,0.2120,6.2356,11.7898,0,1.0000,999,1,10.7266,10.9230,-6.3241,-5.8816,170.2284,0.032,0.000,0.608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,4,1,7.9920,8.1562,0.1849,5.4377,11.7313,0,1.0000,999,1,10.8705,6.2901,-6.6056,-6.6362,170.1540,0.008,0.000,0.632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,4,1,7.9920,8.2704,0.1378,4.0539,11.6567,0,1.0000,999,1,11.6148,15.9322,-6.5615,-3.4053,170.2208,0.000,0.000,0.664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,5,1,7.9920,7.9998,0.1253,3.6864,11.5981,0,1.0000,999,1,12.3047,17.9742,-6.4212,-0.9896,170.1927,0.000,0.000,0.688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,6,1,7.9920,7.9432,0.1323,3.8900,11.5408,0,1.0000,999,1,12.5669,12.1116,-6.3686,-0.2255,170.1507,0.000,0.000,0.712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,7,1,7.9920,7.9748,0.1409,4.1441,11.4702,0,1.0000,999,1,11.5602,-12.9153,-6.6998,-3.3798,170.1072,0.000,0.000,0.744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2026-04-17,14:49:00,8,1,7.9920,7.9045,0.1600,4.7048,11.4131,0,1.0000,999,1,11.3944,-6.8121,-6.8893,-3.9582,170.0812,0.000,0.000,0.768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
