Date,Time,Timestamp_ms,Kite_ID,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg,Dive_Conf,AWW_Conf,AF_Conf
2026-03-27,12:42:17,1,1,-7.9840,-4.9763,0.0515,1.5159,6.9467,0,1.0000,-998,1,14.7365,19.0394,-31.4084,16.2197,-5.3897,0.000,0.000,0.537
2026-03-27,12:42:17,1,1,-7.9840,-4.6414,0.0492,1.4467,6.9803,0,1.0000,-998,1,14.6822,6.2249,-30.9608,15.2750,-1.2833,0.000,0.000,0.567
2026-03-27,12:42:17,2,1,-7.9840,-4.6457,0.0498,1.4652,7.0125,0,1.0000,-998,1,12.6922,-35.7360,-30.8128,11.7625,9.3500,0.000,0.000,0.597
2026-03-27,12:42:17,2,1,-7.9840,-4.9001,0.0806,2.3715,7.0473,0,1.0000,-998,1,10.4925,-50.2143,-30.5716,10.3939,12.4877,0.040,0.000,0.627
2026-03-27,12:42:17,3,1,-7.9840,-5.6715,0.1140,3.3516,7.0869,0,1.0000,-998,1,11.3233,-6.4469,-30.3505,9.1284,15.4246,0.100,0.000,0.657
2026-03-27,12:42:17,4,1,-7.9840,-6.0722,0.1058,3.1116,7.1284,0,1.0000,-998,1,11.6561,2.2390,-30.3164,6.5637,17.7455,0.160,0.000,0.687
2026-03-27,12:42:17,4,1,-7.9840,-6.5526,0.0634,1.8654,7.1878,0,1.0000,-998,1,12.9067,20.7534,-29.8426,8.4101,16.4766,0.150,0.000,0.727
2026-03-27,12:42:17,5,1,-7.9840,-5.9610,0.0591,1.7389,7.2317,0,1.0000,-998,1,13.9171,26.1417,-29.3146,10.8291,19.1541,0.120,0.000,0.757
2026-03-27,12:42:17,6,1,-7.9840,-5.6083,0.0843,2.4792,7.2756,0,1.0000,-998,1,14.6599,23.3912,-28.7649,12.3350,21.6650,0.090,0.000,0.787
2026-03-27,12:42:17,6,1,-7.9840,-6.0180,0.0556,1.6361,7.3295,0,1.0000,-998,1,15.3788,17.8031,-28.0023,14.4180,13.2364,0.050,0.000,0.827
2026-03-27,12:42:17,7,1,-7.9840,-6.0857,0.0839,2.4686,7.3744,0,1.0000,-998,1,15.4361,8.0648,-27.4938,14.6777,23.1868,0.020,0.000,0.857
2026-03-27,12:42:17,8,1,-7.9840,-6.3404,0.0883,2.5984,7.4185,0,1.0000,-998,1,15.8210,12.1365,-27.2979,11.9398,32.3520,0.000,0.000,0.887
2026-03-27,12:42:17,8,1,-7.9840,-6.2827,0.0505,1.4844,7.4620,0,1.0000,-998,1,16.2838,12.9630,-26.9144,11.8544,34.3130,0.000,0.000,0.917
2026-03-27,12:42:17,9,1,-7.9840,-6.0019,0.0440,1.2945,7.5061,0,1.0000,-998,1,16.8902,14.6590,-26.6904,9.9469,42.7478,0.000,0.000,0.947
2026-03-27,12:42:17,10,1,-7.9840,-6.0905,0.0813,2.3920,7.5503,0,1.0000,-998,1,17.1977,11.6688,-26.6548,7.1601,36.6593,0.000,0.000,0.977
2026-03-27,12:42:17,11,1,-7.9840,-6.0342,0.0710,2.0875,7.6061,0,1.0000,-998,1,17.6958,13.4886,-26.3052,7.6678,34.2180,0.000,0.000,1.000
2026-03-27,12:42:17,11,1,-7.9840,-6.2883,0.0608,1.7897,7.6502,0,1.0000,-998,1,18.3220,16.9364,-26.0809,7.4297,28.9827,0.000,0.000,1.000
2026-03-27,12:42:17,12,1,-7.9840,-6.0928,0.0370,1.0869,7.7045,0,1.0000,-998,1,19.2365,19.0756,-25.6287,8.2010,30.4041,0.000,0.000,1.000
2026-03-27,12:42:17,13,1,-7.9840,-5.7246,0.0452,1.3293,7.7533,0,1.0000,-998,1,19.4670,10.7221,-25.4132,7.6867,25.1798,0.000,0.000,1.000
2026-03-27,12:42:17,14,1,-7.9840,-5.6785,0.0560,1.6468,7.7984,0,1.0000,-998,1,20.0414,14.1934,-24.9256,9.5681,20.2393,0.000,0.000,1.000
2026-03-27,12:42:17,14,1,-7.9840,-5.0545,0.0626,1.8421,7.8475,0,1.0000,-998,1,20.7339,15.5901,-24.3287,11.2506,18.6274,0.000,0.000,1.000
2026-03-27,12:42:17,15,1,-7.9840,-4.9804,0.0226,0.6638,7.8847,0,1.0000,-998,1,21.0260,11.1521,-23.9477,11.0095,7.1935,0.000,0.000,1.000
2026-03-27,12:42:17,15,1,-7.9840,-4.5520,0.0503,1.4793,7.9196,0,1.0000,-998,1,21.6607,14.7799,-23.5933,10.8285,10.4387,0.000,0.000,1.000
2026-03-27,12:42:17,16,1,-7.9840,-4.4584,0.0423,1.2443,7.9614,0,1.0000,-998,1,22.3362,14.9766,-23.0898,11.1764,9.7061,0.000,0.000,1.000
