Date,Time,Timestamp_ms,Commanded_Vel_rps,Actual_Vel_rps,Torque_Nm,Tension_N,Line_Length_m,Target_Enabled,Target_Length_m,Remote_Joy,Remote_Active,Pitch_deg,Pitch_Vel_dps,Yaw_deg,Yaw_Vel_dps,Roll_deg
2026-03-17,16:10:50,111,0.0000,-0.0055,0.0025,0.0733,-0.0312,0,1.0000,0,0,0.1510,0.0409,43.5248,0.4424,-177.1696
2026-03-17,16:10:50,168,0.0000,-0.0015,0.0031,0.0923,-0.0312,0,1.0000,0,0,0.1608,0.5143,43.5168,0.1099,-177.1621
2026-03-17,16:10:50,187,0.0000,0.0158,0.0022,0.0643,-0.0312,0,1.0000,0,0,0.1652,0.5345,43.5257,0.3353,-177.1467
2026-03-17,16:10:50,271,0.0000,0.0071,0.0025,0.0736,-0.0312,0,1.0000,0,0,0.1444,-0.3469,43.6027,0.9480,-177.1445
2026-03-17,16:10:50,303,0.0000,-0.0001,0.0019,0.0560,-0.0312,0,1.0000,0,0,0.1481,0.1028,43.6539,1.4808,-177.1545
2026-03-17,16:10:50,329,0.0000,0.0147,0.0025,0.0737,-0.0312,0,1.0000,0,0,0.1434,0.0127,43.6596,0.5334,-177.1491
2026-03-17,16:10:50,389,0.0000,-0.0073,0.0022,0.0646,-0.0312,0,1.0000,0,0,0.1584,0.0051,43.7449,1.5318,-177.1405
2026-03-17,16:10:50,407,0.0000,-0.0021,0.0032,0.0929,-0.0312,0,1.0000,0,0,0.1571,-0.1177,43.7716,1.3792,-177.1479
2026-03-17,16:10:50,474,0.0000,0.0017,0.0022,0.0650,-0.0312,0,1.0000,0,0,0.1727,-0.0005,43.8754,1.6459,-177.1349
2026-03-17,16:10:50,492,0.0000,-0.0028,0.0019,0.0547,-0.0312,0,1.0000,0,0,0.1643,-0.3245,43.8795,1.0560,-177.1411
2026-03-17,16:10:51,529,0.0000,-0.0004,0.0028,0.0830,-0.0312,0,1.0000,0,0,0.1632,-0.0179,43.9012,0.9066,-177.1515
2026-03-17,16:10:51,569,0.0000,0.0044,0.0025,0.0733,-0.0312,0,1.0000,0,0,0.1610,-0.4913,43.8971,0.0839,-177.1528
2026-03-17,16:10:51,607,0.0000,0.0018,0.0022,0.0643,-0.0312,0,1.0000,0,0,0.1684,0.0175,43.8138,-1.2532,-177.1278
2026-03-17,16:10:51,647,0.0000,-0.0028,0.0028,0.0830,-0.0312,0,1.0000,0,0,0.1659,0.0934,43.7878,-0.9871,-177.1249
2026-03-17,16:10:51,685,0.0000,-0.0075,0.0025,0.0733,-0.0312,0,1.0000,0,0,0.1564,-0.1707,43.7667,-0.6892,-177.1097
2026-03-17,16:10:51,724,0.0000,-0.0035,0.0021,0.0630,-0.0312,0,1.0000,0,0,0.1583,-0.3520,43.8181,0.4203,-177.0627
2026-03-17,16:10:51,763,0.0000,0.0013,0.0018,0.0540,-0.0312,0,1.0000,0,0,0.1603,-0.2060,43.8939,1.2990,-177.0765
2026-03-17,16:10:51,804,0.0000,0.0013,0.0025,0.0733,-0.0312,0,1.0000,0,0,0.1948,0.8442,44.0342,2.8518,-176.9526
2026-03-17,16:10:51,856,0.0000,-0.0130,0.0013,0.0369,-0.0312,0,1.0000,0,0,0.2188,0.7101,44.6209,10.9440,-176.5719
2026-03-17,16:10:51,882,0.0000,-0.0085,0.0028,0.0820,-0.0312,0,1.0000,0,0,0.2077,-0.4532,46.1811,26.5720,-176.1781
